density,nitrate,salinity,irradiance,temperature,pH,oxygen,phosphate,chlorophyll-a
0.006,34.3091,10.0,0.0022,16.654,9.39,274.0,1.341,0.007
0.006,34.3091,10.0,0.001,16.201,9.39,317.0,1.341,0.007
0.005,34.7791,13.0,0.00034504,17.629,9.4,296.0,1.341,0.0103
0.0077,34.9989,10.0,-0.00042597,16.534,9.38,309.0,1.341,0.0067
0.009133333333333334,34.67256666666667,11.333333333333334,0.002,16.963,9.376666666666667,307.0,1.341,0.0077
0.010566666666666667,34.34623333333333,12.666666666666666,0.003,16.344,9.373333333333333,305.0,1.341,0.0087
0.012,34.0199,14.0,0.00265,16.534,9.37,303.0,1.341,0.0097
0.012,30.7355,10.0,0.0023,16.249,9.49,309.0,1.341,0.0128
0.007,31.0635,10.0,0.0012,16.177,9.5,302.0,1.3844285714285713,0.0157
0.009,31.2709,10.0,0.0014,16.32,9.48,304.0,1.427857142857143,0.0173
0.0102,31.5725,10.0,0.0012,17.082,9.49,303.0,1.4712857142857143,0.0185
0.0114,31.873525,10.0,0.0017,17.058,9.51,308.25,1.5147142857142857,0.02425
0.0126,32.17455,10.0,0.0011,17.558,9.530000000000001,313.5,1.558142857142857,0.03
0.0138,32.475575,10.0,0.0011,16.749,9.55,318.75,1.6015714285714286,0.035750000000000004
0.015,32.7766,10.0,0.0014,17.558,9.57,324.0,1.645,0.0415
0.012,32.9719,11.0,0.0011,17.605,9.59,314.0,1.7378714285714285,0.0565
0.0178,33.3147,11.0,0.0012,17.296,9.6,324.0,1.8307428571428572,0.0821
0.0209,33.5112,11.0,0.0051,16.63,9.62,332.0,1.9236142857142857,0.1029
0.030066666666666665,33.61343333333333,11.333333333333334,0.0026,16.296,9.633333333333333,337.3333333333333,2.0164857142857144,0.1344
0.03923333333333333,33.71566666666667,11.666666666666666,0.0026,17.058,9.646666666666667,342.6666666666667,2.109357142857143,0.1659
0.0484,33.8179,12.0,0.0013,16.773,9.66,348.0,2.2022285714285714,0.1974
0.0656,34.3096,13.0,0.0014,16.701,9.69,345.0,2.2951,0.1583
0.0707,34.5986,13.0,0.0024,16.487,9.7,407.0,2.2189285714285716,0.2687
0.074,34.7609,13.0,0.0029,17.153,9.74,439.0,2.142757142857143,0.4061
0.1174,35.1557,13.0,0.003,18.557,9.76,388.0,2.0665857142857145,0.4567
0.11846666666666666,34.425266666666666,11.666666666666666,0.0039,16.915,9.783333333333333,449.0,1.990414285714286,0.50717
0.11953333333333334,33.694833333333335,10.333333333333334,0.0034,17.011,9.806666666666667,510.0,1.9142428571428571,0.55764
0.1206,32.9644,9.0,0.00295,17.843,9.83,571.0,1.8380714285714286,0.60811
0.143,33.2171,14.0,0.0025,17.986,9.83,488.0,1.7619,0.6585799999999999
0.1436,33.4591,14.0,-0.0078,13.714,9.83,505.0,1.7632428571428571,0.70905
0.1423,33.5832,11.0,-0.0003493,10.541,9.86,561.0,1.7645857142857144,0.75952
0.1412,33.9124,11.0,0.0013,12.509,9.88,584.0,1.7659285714285715,0.80999
0.14513333333333334,34.13506666666667,11.0,0.0017,13.786,9.893333333333334,582.0,1.7672714285714286,0.86046
0.14906666666666665,34.35773333333333,11.0,-0.0014,14.194,9.906666666666666,580.0,1.7686142857142857,0.91093
0.153,34.5804,11.0,-0.0036,12.944,9.92,578.0,1.769957142857143,0.9614
0.264,35.025,12.0,-0.000328,11.589,9.97,635.0,1.7713,1.143
0.2474,35.3496,12.0,0.0033,11.832,10.0,578.0,1.7165000000000001,1.3653
0.2804,35.8719,11.0,-0.00025558,11.88,9.77,587.0,1.6617,1.4542
0.338,36.3993,17.0,-0.000984,13.81,9.78,450.0,1.6069,1.1506
0.33333333333333337,34.197466666666664,14.333333333333334,-0.0305,10.907,9.816666666666666,443.6666666666667,1.5521,1.2386666666666668
0.32866666666666666,31.995633333333334,11.666666666666668,-0.000328,13.57,9.853333333333333,437.3333333333333,1.4973,1.3267333333333333
0.324,29.7938,9.0,-0.0015,14.768,9.89,431.0,1.4425,1.4148
0.3314,30.2021,5.0,0.00062618,16.177,9.89,623.0,1.3877,1.1455
0.355,30.1866,7.0,-0.0075,17.272,9.93,634.0,1.4257857142857142,1.4605
0.3916,30.6864,7.0,-0.00057507,16.987,9.96,607.0,1.4638714285714285,1.3157
0.4448,28.6839,7.0,0.00046005,17.368,10.01,633.0,1.5019571428571428,1.1938
0.46126666666666666,29.173366666666666,7.666666666666667,0.00067304,17.177,10.013333333333334,582.3333333333334,1.5400428571428573,1.3817666666666666
0.4777333333333333,29.662833333333335,8.333333333333334,-0.0067,15.986,10.016666666666666,531.6666666666666,1.5781285714285715,1.5697333333333334
0.4942,30.1523,9.0,-0.0057,17.13,10.02,481.0,1.6162142857142858,1.7577
0.514,30.8708,8.0,-0.0023,16.32,10.06,445.0,1.6543,1.64085
0.492,31.4125,10.0,-0.0074,16.749,10.0,532.0,1.6409428571428573,1.524
0.4734,32.0699,10.0,-0.0034,15.676,10.02,485.0,1.6275857142857144,1.585
0.4598,32.4986,10.0,-0.00020021,14.314,10.004999999999999,505.0,1.6142285714285716,1.0109
0.4696,32.95023333333334,10.666666666666666,0.00040468,14.242,9.99,476.3333333333333,1.6008714285714285,1.1260666666666665
0.4794,33.40186666666666,11.333333333333334,0.00044301,16.058,9.975000000000001,447.6666666666667,1.5875142857142857,1.2412333333333334
0.4892,33.8535,12.0,0.0011,15.39,9.96,419.0,1.5741571428571428,1.3564
0.502,34.7785,10.0,0.003,19.032,9.99,376.0,1.5608,1.3208
0.5608,35.5481,13.0,0.0037,19.294,10.0,337.0,1.5600166666666666,1.3716
0.53,36.4687,13.0,0.0014,19.508,10.0,483.0,1.5592333333333332,1.6256
0.4826,32.6609,15.0,0.0016,18.414,9.98,432.0,1.55845,1.778
0.5232,33.118633333333335,13.666666666666666,0.0012,18.129,9.983333333333334,424.6666666666667,1.5576666666666668,1.440175
0.5638000000000001,33.576366666666665,12.333333333333334,0.0013,20.317,9.986666666666666,417.3333333333333,1.5568833333333334,1.10235
0.6044,34.0341,11.0,0.0024,18.889,9.99,410.0,1.5561,0.7645250000000001
0.5672,34.4604,11.0,0.001,18.985,10.0,606.0,1.4755,0.4267
0.594,32.8378,10.0,0.0011,19.793,10.06,482.0,1.4849,1.6764
0.6824,34.2255,11.0,0.001,22.537,10.08,544.0,1.6403,1.4732
0.6742,34.6298,15.0,0.0011,21.772,10.08,502.25,1.4849,1.7678
0.6575333333333333,34.3232,15.666666666666666,0.0012,20.198,10.07,460.5,1.5084666666666668,1.8626333333333334
0.6408666666666667,34.016600000000004,16.333333333333332,0.0025,22.872,10.06,418.75,1.5320333333333334,1.9574666666666665
0.6242,33.71,17.0,0.002,20.722,10.05,377.0,1.5556,2.0523
0.5966666666666667,34.2107,12.0,0.0018,20.841,10.06,441.0,1.5132,1.2827
0.5691333333333333,34.7809,15.0,0.0011,21.032,10.1,474.0,1.8616,1.8923
0.5416,31.8088,10.0,0.0012,22.25,10.12,528.0,1.5365,0.7747
0.5486,32.752875,10.25,0.0013,21.915,10.09,517.0,1.560625,0.7969250000000001
0.5556,33.69695,10.5,0.00093714,21.604,10.059999999999999,506.0,1.58475,0.81915
0.5626,34.641025,10.75,0.00097122,22.011,10.03,495.0,1.608875,0.841375
0.5696,35.5851,11.0,0.00084769,19.984,10.0,484.0,1.633,0.8636
0.5604,36.6676,14.0,0.003,20.293,9.995000000000001,411.0,1.6858,0.8128
0.5512,37.7501,17.0,0.0026,20.436,9.99,338.0,1.7386,0.762
0.5268,34.6202,10.0,0.0016,19.413,10.0,478.0,1.6376,0.889
0.3668,35.9167,10.0,0.0013,19.246,9.98,430.0,1.6192,0.6858
0.4404,37.00666666666667,10.0,0.0017,20.341,9.97,428.0,1.6697333333333333,0.9779
0.514,38.09663333333333,10.0,0.0016,20.722,9.959999999999999,426.0,1.7202666666666666,1.27
0.5876,39.1866,10.0,0.0019,19.746,9.95,424.0,1.7708,1.5621
0.5524,40.3687,15.0,0.0028,21.27,9.99,389.0,1.8535,1.016
0.606,41.8686,15.0,0.0029,18.675,10.01,390.0,1.5136,0.8255
0.3924,38.3367,11.0,0.0015,20.007,10.06,407.0,1.565,0.635
0.1093,39.1517,10.0,0.002,19.127,10.01,394.331525,1.5508,0.635
0.2663333333333333,38.945433333333334,10.666666666666666,0.0013,18.961,9.993333333333334,381.66305,1.5115666666666667,0.8043333333333333
0.42336666666666667,38.73916666666666,11.333333333333334,0.0013,19.46,9.976666666666667,368.994575,1.4723333333333333,0.9736666666666667
0.5804,38.5329,12.0,0.0012,21.413,9.96,356.3261,1.4331,1.143
0.37,28.8945,13.0,0.0012,20.793,9.99,360.16305,1.2589,1.1811
0.604,29.9137,14.0,0.0012,20.007,10.02,364.0,1.7863,0.635
0.45,30.4476,15.4,0.0012,21.342,9.98,354.7321,1.4722,1.0033
0.3904,31.9191,16.8,0.0012,19.056,9.98,345.4642,1.5319,0.635
0.43093333333333333,32.7132,18.2,0.0011,19.056,9.956666666666667,339.6059666666667,1.4911333333333334,0.6942666666666667
0.4714666666666667,33.5073,19.6,0.003,21.461,9.933333333333334,333.7477333333333,1.4503666666666666,0.7535333333333333
0.512,34.3014,21.0,0.002,19.674,9.91,327.8895,1.4096,0.8128
0.42,32.414,17.5,0.0012,21.103,9.94,325.25265,1.268,0.8763
0.4976,34.0311,14.0,0.0012,20.412,9.91,322.6158,1.5076,0.6477
0.47,31.373,15.0,0.0012,21.032,9.94,353.8351,1.329,0.8382
0.46,32.5851,18.0,0.0013,19.841,9.93,385.0544,1.3987,0.9525
0.45,33.31163333333333,18.666666666666668,-0.00043875,19.984,9.906666666666666,372.9567,1.4655,0.9017000000000001
0.44,34.03816666666666,19.333333333333332,0.0035,19.817,9.883333333333333,360.859,1.5323,0.8509
0.43,34.7647,20.0,0.0022,20.603,9.86,348.7613,1.5991,0.8001
0.43,33.3044,19.0,-0.0033,19.175,9.83,360.4625,1.4074,0.8001
0.46,33.8038,18.0,0.0011,21.318,9.84,372.1637,1.4597,0.762
0.46,34.6207,15.5,0.0011,20.055,9.844999999999999,403.17825,1.4858500000000001,1.16205
0.46,35.4376,13.0,0.0012,21.628,9.85,434.1928,1.512,1.5621
0.51,35.72586666666667,15.666666666666666,0.00099678,19.817,9.87,435.08436666666665,1.5294333333333334,1.7653
0.56,36.014133333333334,18.333333333333332,0.0013,19.936,9.89,435.97593333333333,1.5468666666666666,1.9685
0.61,36.3024,21.0,0.0023,20.96,9.91,436.8675,1.5643,2.1717
0.62,34.80515,18.5,0.0012,19.532,9.92,484.49645,1.52725,2.4955499999999997
0.63,33.3079,16.0,0.0032,21.032,9.93,532.1254,1.4902,2.8194
0.645,32.117399999999996,17.5,0.0019,19.222,9.975,568.7330999999999,1.3091,2.87655
0.66,30.9269,19.0,0.002,20.627,10.02,605.3408,1.128,2.9337
0.7050000000000001,30.687675,19.25,0.0015,21.891,10.045,619.8243,1.1555,3.152775
0.75,30.44845,19.5,0.0014,22.393,10.07,634.3078,1.1829999999999998,3.3718500000000002
0.7949999999999999,30.209225,19.75,0.0011,22.848,10.094999999999999,648.7913,1.2105,3.590925
0.84,29.97,20.0,0.0016,20.222,10.12,663.2748,1.238,3.81
0.86,30.105266666666665,17.333333333333332,0.0012,21.795,10.146666666666667,701.3876333333334,1.283,4.0513
0.88,30.240533333333335,14.666666666666668,0.002,23.617,10.173333333333332,739.5004666666666,1.328,4.2926
0.9,30.3758,12.0,0.0022,24.944,10.2,777.6133,1.373,4.5339
0.9466666666666667,30.075933333333335,13.0,-0.0062,21.199,10.216666666666667,726.2628666666667,1.2763333333333333,4.7117
0.9933333333333334,29.776066666666665,14.0,-0.0036,20.746,10.233333333333333,674.9124333333333,1.1796666666666666,4.8895
1.04,29.4762,15.0,-0.0089,19.341,10.25,623.562,1.083,5.0673
0.995,29.084,13.0,-0.0131,17.034,10.27,546.281,1.0979999999999999,5.08635
0.95,28.6918,11.0,-0.00012779,16.987,10.29,469.0,1.113,5.1054
1.1514,29.5141,11.0,-0.0053,16.463,10.29,606.0,1.0474999999999999,5.0292
1.3528,30.3364,11.0,-0.0037,15.986,10.29,743.0,0.982,4.953
1.351,31.115266666666667,11.333333333333334,-0.008,18.937,10.306666666666667,749.3333333333334,0.9733666666666666,4.953
1.3492,31.894133333333336,11.666666666666666,-8.0935e-05,20.746,10.323333333333332,755.6666666666666,0.9647333333333333,4.953
1.3474,32.673,12.0,-0.0191,19.246,10.34,762.0,0.9561,4.953
1.1225,33.14575,13.0,-0.0183,17.201,10.36,734.0,0.88245,4.85775
0.8976,33.6185,14.0,-0.0087,15.819,10.38,706.0,0.8088,4.7625
1.1402,32.5166,14.5,-0.0298,17.201,10.36,690.5,1.1058,5.27685
1.3828,31.4147,15.0,-0.0258,16.534,10.34,675.0,1.4028,5.7912
1.458,31.449233333333332,15.0,-0.0355,14.912,10.343333333333334,741.0,1.2473333333333334,5.6388
1.5332000000000001,31.483766666666668,15.0,-0.0508,14.385,10.346666666666666,807.0,1.0918666666666668,5.4864
1.6084,31.5183,15.0,-0.0494,16.892,10.35,873.0,0.9364,5.334
1.5641,29.67975,14.5,-0.063,17.867,10.355,835.5,0.90205,5.9817
1.5198,27.8412,14.0,-0.0647,18.033,10.36,798.0,0.8677,6.6294
1.3496000000000001,27.81175,13.5,-0.0575,17.534,10.405,786.5,0.80635,6.2865
1.1794,27.7823,13.0,-0.0349,17.058,10.45,775.0,0.745,5.9436
1.2806,27.467066666666668,13.333333333333334,-0.0746,16.915,10.396666666666667,787.3333333333334,0.7171666666666666,5.7404
1.3818000000000001,27.151833333333332,13.666666666666666,-0.084,17.915,10.343333333333332,799.6666666666666,0.6893333333333334,5.5371999999999995
1.483,26.8366,14.0,-0.023,20.412,10.29,812.0,0.6615,5.334
1.7078000000000002,27.76905,14.0,-0.0701,19.413,10.26,791.4784999999999,0.7203999999999999,5.4102
1.9326,28.7015,14.0,-0.0306,18.01,10.23,770.957,0.7793,5.4864
1.7579,27.150599999999997,14.5,-0.0185,16.63,10.305,771.50815,0.8826499999999999,4.762499999999999
1.5832,25.5997,15.0,-0.0163,17.272,10.38,772.0593,0.986,4.0386
1.6820499999999998,26.385099999999998,15.0,-0.0396,17.796,10.387500000000001,732.268,0.96575,5.0387249999999995
1.7809,27.170499999999997,15.0,-0.0541,18.271,10.395,692.4766999999999,0.9455,6.03885
1.87975,27.9559,15.0,-0.0632,18.129,10.4025,652.6854,0.92525,7.038975
1.9786,28.7413,15.0,-0.0758,18.152,10.41,612.8941,0.905,8.0391
1.62,24.9544,14.0,-0.0563,18.224,10.33,598.8439,1.0355,6.4389
1.67,25.2877,12.0,-0.0492,18.485,10.35,591.26465,1.01075,6.61035
1.72,25.621,10.0,-0.064,17.177,10.37,583.6854,0.986,6.7818
1.7066666666666666,25.180966666666666,11.666666666666666,-0.0937,17.249,10.36,537.7920666666666,0.9365333333333333,6.7056
1.6933333333333334,24.74093333333333,13.333333333333334,-0.077,18.889,10.35,491.8987333333333,0.8870666666666667,6.6294
1.68,24.3009,15.0,-0.0742,18.866,10.34,446.0054,0.8376,6.5532
1.65,24.0722,14.5,-0.0763,19.008,10.26,433.2345,0.7263,6.5532
1.62,23.8435,14.0,-0.0778,18.39,10.18,420.4636,0.615,6.5532
1.53,23.292650000000002,14.0,-0.0365,20.126,10.145,438.52504999999996,0.65265,6.7056000000000004
1.44,22.7418,14.0,-0.0374,20.103,10.11,456.5865,0.6903,6.858
1.44,23.178800000000003,14.333333333333334,-0.0864,19.056,10.093333333333334,463.11563333333334,0.7734666666666666,6.946899999999999
1.44,23.6158,14.666666666666666,-0.098,18.985,10.076666666666666,469.64476666666667,0.8566333333333334,7.0358
1.44,24.0528,15.0,-0.0983,18.461,10.06,476.1739,0.9398,7.1247
1.45,24.02995,15.0,-0.0764,17.701,10.04,568.9630999999999,0.8645499999999999,7.02945
1.46,24.0071,15.0,-0.0798,17.391,10.02,661.7523,0.7893,6.9342
1.44,24.8644,15.0,-0.0555,17.391,9.995000000000001,578.6901,0.7497,6.7627500000000005
1.42,25.7217,15.0,-0.0822,17.653,9.97,495.6279,0.7101,6.5913
1.3866666666666667,26.276233333333334,15.333333333333334,-0.0839,18.152,9.966666666666667,474.8018,0.7932666666666667,6.6802
1.3533333333333333,26.830766666666666,15.666666666666666,-0.0782,17.867,9.963333333333335,453.9757,0.8764333333333333,6.7691
1.32,27.3853,16.0,-0.0669,17.106,9.96,433.1496,0.9596,6.858
1.3599999999999999,25.434150000000002,15.5,-0.0469,17.629,9.940000000000001,457.45455000000004,0.90415,6.477
1.4,23.483,15.0,-0.0298,17.677,9.92,481.7595,0.8487,6.096
1.3407,24.4304,14.5,-0.0313,17.177,9.91,545.5346999999999,0.8569,6.07695
1.2814,25.3778,14.0,-0.048,17.748,9.9,609.3099,0.8651,6.0579
1.4089333333333334,25.5709,14.333333333333334,-0.0487,17.51,9.916666666666666,639.5699,0.9324,6.2611
1.5364666666666666,25.764,14.666666666666666,-0.0746,16.915,9.933333333333334,669.8299,0.9996999999999999,6.464300000000001
1.664,25.9571,15.0,-0.0807,17.605,9.95,700.0899,1.067,6.6675
1.592,26.124650000000003,15.0,-0.0663,17.891,9.985,615.92865,0.9431499999999999,6.8199000000000005
1.52,26.2922,15.0,-0.0712,17.915,10.02,531.7674,0.8193,6.9723
1.5804,25.923450000000003,15.0,-0.0501,17.344,9.99,597.1217999999999,0.9798500000000001,7.06755
1.6408,25.5547,15.0,-0.0475,17.582,9.96,662.4762,1.1404,7.1628
1.6374666666666666,24.524833333333333,14.666666666666666,-0.0558,17.796,9.99,630.4682666666666,1.3514000000000002,7.29996
1.6341333333333334,23.494966666666667,14.333333333333334,-0.0608,17.058,10.020000000000001,598.4603333333333,1.5624,7.43712
1.6308,22.4651,14.0,-0.0325,18.343,10.05,566.4524,1.7734,7.57428
1.6084,22.91225,14.0,-0.0445,18.01,9.97,579.2262000000001,1.411,7.7114400000000005
1.586,23.3594,14.0,-0.0545,17.106,9.89,592.0,1.0486,7.8486
1.601,23.8774,14.5,-0.048,17.034,9.975000000000001,611.7933,1.0279500000000001,7.41045
1.616,24.3954,15.0,-0.0835,17.653,10.06,631.5866,1.0073,6.9723
1.7473333333333334,24.871233333333333,15.666666666666666,-0.0653,17.986,10.08,572.4247,1.0409666666666668,6.858
1.8786666666666665,25.347066666666667,16.333333333333332,-0.0561,17.272,10.1,513.2628,1.0746333333333333,6.7437
2.01,25.8229,17.0,-0.0971,17.249,10.12,454.1009,1.1083,6.6293999999999995
1.9499999999999997,24.798475,16.5,-0.0679,17.772,10.122499999999999,443.56982500000004,1.020275,6.5151
1.89,23.774050000000003,16.0,-0.0682,16.558,10.125,433.03875000000005,0.93225,6.4008
1.83,22.749625,15.5,-0.0426,17.677,10.127500000000001,422.507675,0.844225,6.2865
1.77,21.7252,15.0,-0.0676,17.724,10.13,411.9766,0.7562,6.1722
1.8075,21.87365,15.0,-0.0419,18.152,10.13,417.54405,0.77735,6.467475
1.845,22.022100000000002,15.0,-0.0354,15.629,10.13,423.1115,0.7985,6.7627500000000005
1.8824999999999998,22.17055,15.0,-0.0285,18.247,10.13,428.67895,0.81965,7.058025
1.92,22.319,15.0,0.0017,21.987,10.13,434.2464,0.8408,7.3533
1.92,22.16603333333333,15.333333333333334,0.0023,24.823,10.120000000000001,460.4433333333333,0.9602,7.3025
1.92,22.013066666666667,15.666666666666666,-0.0301,20.246,10.11,486.6402666666667,1.0796000000000001,7.2517
1.92,21.8601,16.0,-0.0706,17.51,10.1,512.8372,1.199,7.2009
1.92,21.817675,15.75,-0.00091585,16.082,10.0875,486.0353,1.125625,7.41045
1.92,21.77525,15.5,-0.0201,15.819,10.075,459.2334,1.05225,7.619999999999999
1.92,21.732825,15.25,-0.0067,15.891,10.0625,432.4315,0.9788749999999999,7.829549999999999
1.92,21.6904,15.0,-0.0577,17.51,10.05,405.6296,0.9055,8.0391
1.89,21.777133333333335,15.0,-0.0397,20.936,10.026666666666667,407.3802714285714,0.9851,7.1754999999999995
1.86,21.863866666666667,15.0,0.00040468,22.753,10.003333333333334,409.1309428571428,1.0647,6.3119
1.83,21.9506,15.0,-0.0424,21.939,9.98,410.88161428571425,1.1443,5.4483
1.8163636363636364,21.899154545454547,15.090909090909092,-0.0907,20.222,9.965454545454547,412.63228571428573,1.1443,5.5071818181818175
1.8027272727272727,21.847709090909092,15.181818181818182,-0.1029,19.27,9.950909090909091,414.38295714285715,1.1443,5.566063636363636
